Soybean yield (kg/ha);ECa (mS m);Clay (%);Silt (%);Sand (%);pH(water);SOM (%);P(mg/kg);K(mg/kg);Ca(cmolc/kg);Mg(cmolc/kg);SB(cmolc/kg);Al(cmolc/kg);H+Al(cmolc/kg);AS%;BS%;CTC(cmolc/kg);Tem_Zero_Al_AS;Outlier_Mahalanobis;Outlier_IsoForest;Score_PC1;Score_PC2;Score_PC3;Score_PC4;Ranking;Cluster_KMeans;Cluster_Hierarquico;Zona_Manejo;Produtividade_sc_ha;Produtividade_Prevista_sc_ha
4149,6;24,69;66;30;5;6,3;4,3;122;222,3;11,2;3,6;15,4;0,0;3,3;0;82;18,7;True;False;True;3,887798660095989;6,404489707749979;0,6529727240443611;-0,6818223253629501;263,59143495527724;0;0;Zona 1;69,16000000000001;57,623256162502244
3570,6;18,41;66;31;4;5,4;3,6;92;66,3;7,3;2,7;10,1;0,09;6,2;1;62;16,4;False;False;False;-1,2887609351615297;0,7732966717202227;0,38747342163262183;0,7377334627798642;-31,880866274413986;1;1;Zona 2;59,51;60,674020846267965
3955,33;25,57;78;19;3;5,6;3,4;86;120,9;7,8;2,5;10,6;0,0;5,3;0;67;15,9;True;False;False;-0,6502650643565042;-0,3516129912744366;-0,7230038685947691;-1,9291157670150085;-56,098808840098485;1;1;Zona 2;65,92216666666667;65,64997075579478
3929,91;14,94;76;22;3;5,5;3,2;69;81,9;6,8;2,4;9,5;0,04;5,4;0;64;14,8;True;False;False;-1,699959316966819;-1,6123360723490177;-0,7744726314411573;-1,0510935641412666;-112,85112369884885;1;1;Zona 2;65,49849999999999;65,47875970700451
3683,04;11,35;73;24;3;6,0;4,0;78;132,6;8,6;3,3;12,2;0,0;4,0;0;75;16,2;True;False;False;1,18343374245042;0,3949445035288062;0,007987602729559461;-0,9150688100195311;48,077898308077216;0;0;Zona 1;61,384;71,73842655348966
3281,13;29,15;66;32;3;5,9;4,1;104;132,6;10,3;3,6;14,2;0,0;4,8;0;74;19,0;True;False;False;3,3693977921298246;2,293849794746408;0,28947841356156595;0,49201468207146154;183,99808405498027;0;0;Zona 1;54,685500000000005;69,35009954424004
3322,93;45,45;76;21;4;6,4;3,8;68;237,9;9,5;3,5;13,7;0,0;2,9;0;82;16,5;True;False;False;3,2393229335587073;2,6467586825227682;-1,9017766871729749;-1,7989253136425305;143,38739444242853;0;0;Zona 1;55,38216666666666;55,7144683964635
3995,13;32,15;71;27;3;5,8;3,4;58;132,6;9,1;2,8;12,3;0,0;5,2;0;70;17,5;True;False;False;1,3645452465039938;0,28288649056795956;-0,2977849504369118;0,19502347006476373;60,34550201124132;0;0;Zona 1;66,5855;67,97294291261274
3533,47;21,0;76;22;3;5,6;3,2;42;54,6;6,1;2,0;8,2;0,0;6,0;0;58;14,2;True;False;False;-2,45817433673613;-2,465896868237487;-1,1847820406866583;-0,30413271595692865;-155,61978770433342;1;1;Zona 2;58,89116666666666;61,96646454717996
3257,33;15,45;76;21;3;5,6;3,2;67;89,7;7,4;2,5;10,1;0,0;5,9;0;63;16,0;True;False;False;-1,3261187397219338;-1,1357327939030157;-0,8131423412015241;-1,321963258729741;-92,4066158381027;1;1;Zona 2;54,28883333333333;64,87828147542277
3516,8;18,62;81;16;4;4,9;3,6;48;105,3;4,6;1,5;6,3;1,03;9,4;14;40;15,7;False;True;True;-11,647322763926311;6,532764237699218;-3,5962946957262205;3,0495557646271463;-394,8242020723671;1;2;Zona 2;58,61333333333334;-37,16603830561745
3973,4;17,45;78;19;3;5,4;3,2;35;93,6;6,1;2,1;8,5;0,09;5,9;1;59;14,3;False;False;False;-3,6112026728569173;-1,8883309167653977;-0,5980508864310166;-0,8008329036877285;-193,3969043056673;1;1;Zona 2;66,22333333333333;61,014766509596065
3824,67;11,27;76;22;3;5,4;3,3;53;123,5;7,0;2,17;9,33;0,12;6,53;2;58;16,0;False;False;False;-3,207692536003715;-0,7409413759241645;0,20459389363054922;-0,7735852457952056;-150,5242237773823;1;1;Zona 2;63,7445;63,19344552979151
4314,2;9,95;78;19;3;5,1;3,2;66;144,3;5,3;1,6;7,2;0,27;8,5;4;46;15,7;False;False;True;-6,56592446142622;0,8573699713574386;0,13285824747157624;-0,8325413909820871;-267,3988813357833;1;1;Zona 2;71,90333333333334;43,942869967517
3759,6;15,4;78;19;3;5,4;3,4;95;191,1;6,8;2,1;9,4;0,09;7,5;1;56;16,9;False;False;False;-3,1233887094813086;0,3114157994074161;0,5751197025880616;-2,5186548434137377;-141,7168041490243;1;1;Zona 2;62,66;65,47850247241033
